epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,678.5,0.40709,0.38495,0.98811,0.94124,0.86905,0.91863,0.79769,0.66141,0.64349,1.30665,0.000254791,0.000254791,0.000254791
85,686.192,0.42844,0.37926,0.99392,0.91774,0.87492,0.91756,0.79929,0.63224,0.60068,1.23738,0.000240644,0.000240644,0.000240644
86,693.924,0.39717,0.35387,0.99168,0.85094,0.90875,0.88809,0.76259,0.61758,0.70587,1.21111,0.000226497,0.000226497,0.000226497
87,701.697,0.40682,0.3551,0.97717,0.91377,0.87782,0.88079,0.73279,0.64852,0.72718,1.28618,0.000212349,0.000212349,0.000212349
88,709.432,0.3869,0.33738,0.97015,0.8496,0.90577,0.88102,0.74649,0.72157,0.79716,1.29735,0.000198202,0.000198202,0.000198202
89,717.057,0.37582,0.33543,0.96949,0.88418,0.88572,0.89776,0.79623,0.67539,0.74032,1.2571,0.000184055,0.000184055,0.000184055
90,724.791,0.40705,0.35901,0.98171,0.91749,0.8747,0.90769,0.79099,0.67588,0.73891,1.26774,0.000169908,0.000169908,0.000169908
91,733.972,0.32175,0.31113,0.93133,0.90771,0.86905,0.889,0.76495,0.71732,0.71943,1.27503,0.000155761,0.000155761,0.000155761
92,741.48,0.30722,0.27363,0.91659,0.91212,0.88123,0.91695,0.7918,0.65468,0.68737,1.2277,0.000141614,0.000141614,0.000141614
93,749.082,0.29986,0.25887,0.9228,0.91677,0.90522,0.93139,0.8079,0.65051,0.6163,1.24461,0.000127467,0.000127467,0.000127467
94,756.796,0.28928,0.23497,0.89149,0.94372,0.87887,0.92996,0.80145,0.66849,0.63568,1.259,0.00011332,0.00011332,0.00011332
95,764.457,0.29535,0.2524,0.91995,0.92543,0.90652,0.93201,0.80644,0.64022,0.60132,1.23591,9.91726e-05,9.91726e-05,9.91726e-05
96,772.207,0.28894,0.24138,0.90962,0.91856,0.90705,0.92794,0.79381,0.65582,0.61689,1.27095,8.50255e-05,8.50255e-05,8.50255e-05
97,779.916,0.27474,0.23005,0.89785,0.92166,0.90705,0.93026,0.79627,0.67659,0.64646,1.26909,7.08784e-05,7.08784e-05,7.08784e-05
98,787.59,0.27525,0.22642,0.89828,0.92708,0.90715,0.93294,0.80321,0.67622,0.63571,1.28256,5.67313e-05,5.67313e-05,5.67313e-05
99,795.33,0.26359,0.22558,0.89363,0.92494,0.90577,0.93302,0.79897,0.68982,0.56446,1.30666,4.25842e-05,4.25842e-05,4.25842e-05
100,802.945,0.2545,0.22008,0.89643,0.92077,0.9055,0.93547,0.79432,0.69487,0.57651,1.31431,2.84371e-05,2.84371e-05,2.84371e-05
